term_uuid	lbl	class_code	class_name	tier	method	reason	gtc_ids	n_sources
GSD:e3e28980-b27f-4e23-8583-dcfc336094fc	Lewis X hexaose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:feb39059-c793-4824-9b59-817b382ea413	Lewis x on Core 2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:9c1c273e-5f38-49e7-bf5e-ae0bab8f5011	Lewis X tetraose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		2
GSD:a57ec013-3fba-4597-9ad0-639e41d73f0f	Lewis x triaose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:9ced2c9c-f8d2-484b-9359-d258e4caad16	Lewis y Lewis x	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:c6824960-4812-41cd-a84b-91c1929c7f21	Lewis y pentaose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:333e5932-8f42-49e1-9ebe-68750ab11dd8	Lewis y tetraose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:2b2d7fad-fac6-4081-8b1a-36e9b1bd612c	Sialyl Lewis X (sLeX) pentaose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:204af080-79f1-404c-a8ae-937563254cf3	Slex-Lex	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:2d4e4f96-f318-44fe-acac-465b64678612	SLex-Lex-Lex	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:280335d7-446e-47e8-a383-bff3af60e7eb	tri-Lewis x	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		2
GSD:6e6cbe2a-931c-4de2-9248-a2b713d018d1	Sialyl Lewis a tetroase	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:b1cca1fb-226b-4c26-85d1-8f83186163de	Sulfo Lewis X	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:995a1dec-e470-4583-bda2-17dd8778c981	Gal b1-4 GalNAc b1-4 Gal b1-4 Glc b	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:78e57684-932d-4b0e-9111-88c999354c7d	3'-KDN-Lewis c	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:3ce28714-a523-447e-adf4-a064570364d1	3'-KDNLN	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		3
GSD:0341ec9b-8fa7-4d7a-8530-54416a16af62	6P-Man3	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:7acb83cf-3b57-42a5-b515-923983c2f9f6	deoxy Chitotetraose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		2
GSD:cbf548b9-c573-4b53-a512-365640822c2c	deoxy Chitotriose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		2
GSD:db16e317-e2e9-45ad-b336-82f25a59de23	Fuc-Gal-Xyl	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:2c2e42c2-91ad-4ce8-bdb5-7b0320785e8a	Gal a(1-3') LacNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:cf3288aa-7957-4cb4-8a48-046c90f82bf7	Gal-GalNAc-(Neu5Ac)-Gal-Glc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:4eae2528-1e09-411e-b5b8-8ef917653095	Gal-GlcNAc-(Gal-GlcNAc)-Gal	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:d1ba6dce-d1db-4230-8db8-119a82287b08	GalNAc-(Fuc)-Gal-Glc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:76843f54-6102-406a-99ea-283cdac31a50	GlcNAc b(1-3') LacNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:ba5cc989-0f95-4b86-acc6-57eac381e308	GlcNAc b(1-4,6) GalNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:ce8b5104-60e0-4c87-8d54-b8ddb941f4db	GlcNAc-(Fuc)-GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:eef316f7-dd64-44ba-8029-257821947c8a	GlcNAc-Gal-Glc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:f198ae37-5851-4818-bb41-672f8d81affd	GlcNAc-Man-(GlcNAc-Man)-Man	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:c0274743-a6e7-4d6e-b879-3ee4e80440d1	Neu5Ac-Gal-(Fuc)-GlcNAc-OMe	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:37efc8b5-77e4-4d0d-9d1b-424997c0544d	Neu5Ac-Gal-(Neu5Ac)-GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:693f7482-73a3-4f83-ac58-0ad8d25b2c74	Tk	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:b1d25623-17c2-4020-b038-fa24a69eda9f	Gal b1-4 GalNAc b1-4 Gal b1-4 Glc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:e58c8291-01db-4a5f-93e8-e4081c3e4cd5	Galactosyl lactose	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		2
GSD:1a899805-78e7-4c0b-ba92-53131e675270	Fucosylated A antigen type 5	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:538b482d-cdc0-4f6d-9708-30013dc4f5c6	Fucosylated B antigen type 5	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:8819f540-2b81-4ecf-a7d1-954288ea66b0	Chitohexose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:a24044c2-5561-4611-b040-908196b86ec5	Chitopentose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:721f9a33-e7d5-4030-8aa6-843fe555a2cf	Chitotetraose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:fd773dee-7300-4ce2-8eef-c7565adc735a	Chitotriose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:25e88358-b3a4-45d3-87bd-9b2db024b964	Chitopentaose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:9eea6970-5fd2-4028-ad0e-69e53ce5b977	Chitohexaose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:abba1fe0-a3ff-43b1-bbb6-9f87436b4f41	As-Fibrinogen	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		2
GSD:bc2640fd-a8f4-4eb6-a034-d48e26dd8837	asialo-, agalacto-N-glycan from porcine fibrinogen	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		2
GSD:9740ea72-408d-44f7-b4af-2cbc0b775db1	di-sialylated N-glycan from porcine fibrinogen	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		1
GSD:3011b3f6-7698-4446-8f7b-cb9376be9fa5	2'-F-Di-LN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:54d21c55-49fc-4294-b532-9da639847a22	3-SLDN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		3
GSD:5241433c-1e8b-4a4f-9092-7ffa701dd222	6'-SiaDi-LN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:ab6751e8-61e4-4688-bf9e-e3dfa8b3d6a3	Sialylated LDN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G55583HW	6
GSD:f6b66d2a-b2dc-4040-991c-4f4bd1493ca6	Bi-LDN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:b50e54e4-22ba-49a2-ac78-b4f964ee787e	Fuc a(1-3) Lac-di-Nac	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:5e2afc6f-ad8f-44b7-88ba-8804264bd8c0	4' sulfo Lewis X	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:20038fd4-69d6-475d-a0b9-9fc7083a454a	6-LacNAc-TF	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:be9bde39-92e3-455d-b92d-cb0ef85b9363	6-Siab-TF	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:0d2dd2c6-4887-4c3e-99c5-1c8e91673939	6'-SiaaTF	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:c2bf7543-21f5-424c-9226-3884b2a3f6da	GlcNAc b(1-2') TF	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:fd2d398b-bcb6-4b87-a633-070ad22d12a4	3,6-(LacNAc)2Tn	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:b87f07e6-1235-487b-9c05-26d1da25fe90	3-6-STn	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:827b6b74-ee96-4475-b655-a8bc960bfc24	3-LacNAc-Tn	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:cd763a64-a6dc-4eab-b937-3e33ae1cd3b3	6-LacNAc-Tn	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		2
GSD:2e136781-dbab-43f5-8d55-f9050c469095	Disialosylpentaose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:709ec08c-7730-4d2b-bdd3-37e18002054a	(Man)2-GlcNAc	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		2
GSD:5b1b3271-118b-41d7-b8a7-2fc2970d8e4a	(Man)3a	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:dcf167a2-1224-42e7-b68d-59a07b0afe56	(Man)3b	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:f33eeb8f-d2e9-4832-8cfc-0758b19411a8	(Man)4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:535af70e-54e7-4928-99b4-09d111e22eca	(Man)4-(Fuc)-GlcNAc	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:f3f26cb2-1a6d-44f8-a7b7-90e8593eb152	(Man)6 (GlcNAc)2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:130b1623-97bd-41dd-ae81-c363898b7d4e	(Man)9-GlcNAc-GlcNAc	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:3023b2bd-9c24-456f-ac60-a4c12e1d30b6	Gal-GlcNAc-Man-(Gal-GlcNAc-Man)-Man-GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		2
GSD:e62cbcaf-d685-4d21-a04a-85e288b3e6eb	Man-3 chitobiose core Fuc	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)		2
GSD:ce7c690a-e8e2-4cff-9eea-efde676c1bcd	Mono-sialylated N-glycan from porcine fibrinogen	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		1
GSD:bad3690e-064c-4053-9af5-01ab6d2cc1f4	N-glycan mixture from horseradish peroxidase	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		2
GSD:bcafb14a-4f09-4acd-9c6f-46431c77b052	N-Man5 GlcNAc 1-4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		2
GSD:7020a983-8509-456b-84b4-7ae743b76012	tri-sialylated N-glycan from porcine fibrinogen	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		1
GSD:acb6fa1f-9ffa-4722-b38b-6db59a8e5cb4	Man a1-2 Man a1-6 Man a1-6 (Man a1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:30b5e6f6-24c2-4c15-982d-2acb659a473b	Man a1-3 (Man a1-6) Man	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		2
GSD:0abc3c13-5074-412f-8159-bcbd8120ae0c	Sialylated triose type 1	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:74e6254f-22cd-420b-9ede-328ee335a133	Neu5Ac-Gal-(Neu5Ac)-deoxy-GalNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:6b8eae12-0090-407e-899d-ce52a3463a60	Sia2TF	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:234e26ab-852e-4ea4-abd2-06d2d5117cd1	Sialylated tetraose type 1	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		2
GSD:d9681674-b81c-403f-86f9-d5ea2cb30289	Disialylated tetraose type 1	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		2
GSD:a557b5bb-702d-400a-9f8e-facc3c84acf3	Disialylated pentaose type 1	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:ee43a491-8db9-472a-a883-ecc02a2ded21	Trisialylated pentaose type 1	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:19c1831c-18e7-4f32-be04-bfcec56eda91	Sialylated tetraose type	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:e8293a34-a43c-45b3-8eaf-f062522639a1	LS-tetrasaccharide a	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:0d51eb33-4a29-41da-8382-23b3860aa89d	LS-hexasaccharide d	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:4ceea015-4eae-4d9b-837e-2613765b0376	LS-tetrasaccharide d	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:7386e122-9d3d-4c97-95ec-266e88248dc7	6'-Sia-6-su-LacNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:a8f63969-319d-488e-9d6d-b32935d37303	Neu5Ac-Gal-(Fuc)-GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:091efd4c-aa6e-4b9a-872b-764499430f27	Sialylated tetraose type 2	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:2a70fb34-e061-4074-bf1d-d106f81594bc	Disialylated tetraose type 2	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		2
GSD:3d7cd09c-d97b-47c4-9c76-0136cab74fa2	Trisialylated pentaose type 2	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		3
GSD:a6aeb5f5-03fc-415b-98ca-dff96392c4d3	LS tetrasaccharide b	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:a68c69d5-42ae-422c-8026-80544c7362ae	Neu5Ac a2-6 Gal b1-4 GlcNAc b1-4 Gal b1-4 GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:a4aab6f8-07af-4349-abb0-62df2bc1391c	Type 2 LN2	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G00058MO	4
GSD:6f6e40d8-ff18-4f4d-b1d5-43c5dd730fec	Type 1 LN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G00056MO; G43784HS	4
GSD:74e3545d-6d77-44c3-8433-8c26f434e72a	Type 1 LN2	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G43784HS	3
GSD:0c4406ec-9b99-4cd0-8a6d-f2b4d1aad1ca	Type 1 LN3	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G17961XM	4
GSD:80e0ac92-9573-4fd5-a7b9-165d12da2663	A antigen type 3	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G99315PE	4
GSD:ddacfbac-b848-45dd-9472-d6a0bf963de8	Fucosylated LDN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G02240AO	5
GSD:fee38f8d-d943-44d1-bc49-3f3110ca67e8	2,6-sialyl-Sulfo-LN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G43191LZ; G41145LF	5
GSD:93783264-bc71-4521-a412-c6b24cbae82c	6,6'-bisSulfo-Lewis x	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00659GQ; G46799JK	5
GSD:eab2603d-c6b0-4048-88bf-4b07e32cbb6c	Lex–Lex	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G45673KX	2
GSD:797400ac-ff3b-4fe0-b7b7-cf33b036c13c	SDLex	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G19619KS; G69360KJ	5
GSD:7f7b1bc5-eb93-4b6a-9f81-002570e0cc1b	Blood group H - type 2 chain	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G70519XK	2
GSD:1a6a9019-47b8-4344-93e1-49963d0fd217	Blood group B - type 2 chain	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:fa71bb07-2b82-481d-b1a7-6bed244406c4	Blood group A1 - type 3 chain	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:9338ead9-ed74-44a8-b0a8-10d9190cb5e4	Blood group A2 - A-associated H type 3 chain	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G62735WZ	2
GSD:62f8c8a8-b807-4bd0-99a3-1f648b699539	4'-sulfated LDN	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G18464VS; G31301MT	5
GSD:6ced8323-c110-405c-b415-1229d3ddb057	Sda/CT antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G41052GC; G00062MO	5
GSD:89808c8c-929e-427b-884d-d1199e5d63ab	SLex on Core 2 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G97345NY; G71121NN	4
GSD:3d151c25-a2dd-40fa-835b-2e22a8b4589e	Lex on O-Mannose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G81516LH; G72060BE	4
GSD:2c667052-86a8-42d0-be98-ee21c9c1f4c7	HNK-1 antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G53277CD; G54406UD; G89591DK	5
GSD:ab54f042-6804-40f2-a3d7-3537cd13565e	HNK-1 on O-mannose	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G06898ZN; G60606QD; G82061CN	5
GSD:24ed10a7-e521-4240-8ca4-ea748c493ef9	Monosulfated gangliotetraosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G96596OC; G59736KH; G57796RK	5
GSD:fc74ecf8-c12e-4ae7-bdc0-9ce2b47a267f	Sulfo-isogloboside	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G56133NW; G30925QW; G10057XH; G57036MA	5
GSD:e45665f0-4131-4b87-9070-5a899beb203d	fucosylated GL-6	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G98465JN; G83120FP	5
GSD:fadbbaa0-e26a-43ce-a9df-5fd1926f9847	GL-7	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G32254QI; G42784QY	6
GSD:97cbf76d-a704-4f31-8d6d-b6e7cd262d1d	B-GD1b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G72557NR; G29966WK	5
GSD:f6bd6652-4170-41f0-81b1-92bb94e44485	GQ1aα	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:4be254d2-ddf5-4019-92e0-5e7163849fe7	GQ1bα	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G49791FJ; G54733XO	2
GSD:7dbeae32-5b65-4af9-8afd-d5e474a8ff61	GP1cα	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00552RX; G16999RL	2
GSD:a373d920-6f79-405b-a234-1fff575a3fa8	GH1cα	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G14091MR; G86139YL	2
GSD:7a051bb0-34c0-4230-a9c2-a1c88742f8d8	Mono-fucosyl LN5	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G64227KZ; G93536PN	4
GSD:5372d0be-d390-45a4-9f2a-1db7b15956f2	Mono-fucosyl LN3	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G65223RT; G80291PD	4
GSD:61dc21e8-42eb-4a40-969c-6477ad556280	Disialyl-branched Type 2	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G54937EM	3
GSD:e19eeb60-ae9a-49d2-9a04-28ef03caeae0	Extended tetrafucosyl-Leb	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:1967b04c-e893-4ade-b425-1fd2ed148112	Extended trifucosyl-Leb	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:f0cc28b3-baef-4d9d-b9f8-0331c1fe9cce	Dimeric Lea	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G06148DR	3
GSD:f0242deb-3429-42ed-99fe-7261abaf6f69	Sialyl Leaglycolipid	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G91326YS	3
GSD:63ac422c-f4c4-4e8d-8015-b33b72f73f97	Monosialylganglioside LSTb	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G83513YI; G72506RN	4
GSD:e64024ca-b41d-4a98-be92-61596bf025a3	HNK-expressing SGLPG	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G10503MP; G43040ZY	4
GSD:128499ae-1761-4996-b85d-37832f5fdf32	Blood group A (type 2) - Lewis y	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G54826OZ	1
GSD:4bbb81b8-45ca-4cfc-9f42-9bc502ff80ab	Blood group A1 (type 3)	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G44060QH	3
GSD:8563613e-ab0f-49c2-9e7c-a2403c8503ea	Blood group A2 (A-associated H type 3)	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G62735WZ	2
GSD:0ed5a19c-fcae-4fe7-87d5-c0a5b55f958a	Blood group H (type 1)	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G40696TO; G00294TN	8
GSD:dd235a3e-9078-4a96-a0b6-9e84f353451f	Blood group H (type 2) - Lewis y	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00052MO	1
GSD:a1bfa3b9-241c-4f5d-8078-667444a5ca13	Blood group B (type 1) - Lewis b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G89208KM	1
GSD:96b0f9d9-acfe-44b2-84dd-6b118d6d9c52	Blood group A (type 1) - Lewis b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G97501MA	1
GSD:d3ef8572-dc24-4e02-a9b3-fc96a9bddfa5	SLex Core 2 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G97345NY	2
GSD:6b857d59-cdb7-4eb0-baa6-ea51b0864805	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00061MO	1
GSD:323aec21-c781-4e05-9963-642b8732fdd6	Gb5	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G99053DY; G19298OA; G88796WA	8
GSD:580a2f8b-a7c3-4e54-bdb6-d9becfb6f91a	GD1c	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G81983KG	2
GSD:5882c5a8-fec1-46c6-b5f9-d3eb0dc6abca	GQ1a-alpha	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G90598GO; G26199BG	4
GSD:25ea9545-d230-400a-9ed9-3264ba737bef	GP1c-alpha	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G04433GV; G16999RL	2
GSD:cd9661e4-a1ce-4cf0-bc98-a941ebb60b58	GH1c-alpha	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G14091MR; G86139YL	3
GSD:0d97fc4e-ce56-4a86-b57f-440bf6a5d1bf	B antigen (type 3)	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G88313DY	1
GSD:4ce22da4-6989-4911-a3ab-0e055fe84bc2	N-Glycan high mannose	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G00028MO	3
GSD:2b73f59e-bfef-4693-b33d-e9b9b2398c76	N-Glycan hybrid	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G19610CW; G00029MO	3
GSD:f95990c6-e95f-48f9-b999-85b68dd868df	N-Glycan complex	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G35698AZ; G00030MO	3
GSD:96b88439-8694-443b-8d4f-5789173748c3	O-Glycan core 1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00031MO; G00032MO	3
GSD:8281349a-24d7-44b3-8a86-6dcd3684d9fb	O-Glycan core 2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00033MO; G00034MO	3
GSD:4c003a99-3910-431f-af30-11af24dcb64f	O-Glycan core 3	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00035MO; G00036MO	3
GSD:6a74626b-e626-4927-9476-fc7867bcd1e3	O-Glycan core 4	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00037MO; G00038MO	3
GSD:eb392999-5925-4a02-8deb-260f9f6c0b48	O-Glycan core 5	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00039MO; G00040MO	3
GSD:bd72c2a7-a152-447d-9a7e-428e6db5cc2b	O-Glycan core 6	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00041MO; G00042MO	3
GSD:a2692f60-40e1-4a37-b725-f45e7c68dbd3	O-Glycan core 7	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00043MO; G00044MO	3
GSD:bf54b03e-d24b-5886-997b-2a52ede11173	sulfated glucuronosyl glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors – sulfated & glucuronosyl glycan		1
GSD:e45f8adc-acb8-496d-a180-1936245d7519	O-Mannose	3B	Monosaccharide or named disaccharide	3	llm	monosaccharide noun	G23707SD; G70323CJ	2
GSD:6bda2438-3fb1-47c3-9cec-9dbdd6acf7c3	O-Fucose Core EGF Type	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G08324ZK; G85661BQ	1
GSD:0002fe16-91a5-45c2-8c82-a92efe4485e5	N-glycan core, truncated	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G63560NE; G59883YF	1
