lbl	term_uuid	gtc_id	exact_synonyms_glygen	exact_synonyms_other	related_synonyms	classification	sentence
disialylated biantennary complex-type N-glycan	GSD:f8aa2eec-0523-496e-aeb9-ff9492c072dd						
asialo-GM2	GSD:30a56b3d-0d9f-4b84-97ae-59c984f60006	G90562PB		aGM2			
asialo-GM3	GSD:441f2d1d-745c-4ef0-a4f5-5449e060b4dc	G84224TW		aGM3			
arabinan	GSD:5952daf4-735e-4d0d-95d0-6ddf95a0710a	G22535ZZ					
chondroitin-6-sulfate	GSD:38b53e04-c595-43d5-84ce-be2c1b8ff768	G34992DF		6-sulfated chondroitin sulfate	chondroitin sulfate C		
Fuc(a1-3)GalNAc(b1)	GSD:ade8a5a9-57d3-4ff5-865b-88780709dfaf	G57709BH					
GA2	GSD:c32609b5-fb10-4da5-9846-18edce240bd8	G90562PB					
GM1a	GSD:fbde2c9b-d9c5-4c7c-b3ef-93cbcc3ee9cb	G48558GR			GM1		
Gal(b1-3)GalNAc	GSD:9e14b0e8-3569-48e4-af19-f86179c64dfc	G78436BB					
Gal(b1-4)[Fuc(a1-3)]Glc(b1)	GSD:6b2a64e9-4797-48ca-bcf2-292cbc93bce9	G57548NB					
Gal-CTH	GSD:87989b2d-1f15-4fb9-80a6-178de7613a3b	G91649BT		Gal-ceramide-trihexoside			
GalNAc(b1-3)Gal(b1-4)GlcNAc	GSD:b15fba9a-268c-4eb9-a971-26c5c06d4e1a	G61149BD					
GalNAc(b1-4)Gal	GSD:c0597b2b-399d-46d8-9bc4-183cac7cbf4c	G60859DF					
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1)	GSD:fb8e0f86-86c7-40cc-a2fd-328b9f52f003	G45058HZ					
GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1)	GSD:0aa070e9-6bca-4700-b148-c537b80006a9	G29406SZ					
GalNAc-GD1a	GSD:dd3d396c-6ed9-4487-8e19-6449f6519035	G92175CL					
galactosylgloboside	GSD:6af29d67-4678-43f2-9c9c-0c3bcf644218	G99053DY					
Gg3	GSD:cc49bd2f-ba0c-4ad3-9727-8be4ef2ed4a9	G90562PB					
Gg5	GSD:2e90df47-c162-4aeb-bad6-a8d4ef59b00a	G96834JC					
GlcNAc(b1-3)Gal	GSD:608124e0-0589-49ef-8de2-a7899e40bad1	G02880JU					
GlcNAc(b1-3)Gal(b1-4)GlcNAc	GSD:9d65912f-97d1-4625-9f11-3031f1408e33	G48117BL					
KDN-Gal	GSD:504914ce-6a2e-4215-9408-b72fcf258e7e	G82612XX					
LacNAc-Gal	GSD:461a0ae9-e18c-4b06-9e5e-62592fc337e2	G06580KR					
lacto-N-neotetraose	GSD:e28ae0a4-cfce-4867-8526-e950e6405bcc	G48059CD					
lacto-N-tetraose	GSD:f953302a-e368-43aa-8a00-f254d26bf693	G45827GY					
lactogangliotetraosylceramide	GSD:6c972eec-6baf-4b08-a21b-58748889ad2f	G62554JH					
lactotetraosylceramide	GSD:18ddd830-8974-4494-a880-47eed3c79f17	G00049MO			lactotetraosylceramide		
Lc4	GSD:b26727f7-8dbe-490d-abbd-28a7a9e17690	G00049MO					
M3FX	GSD:b521334b-3fb2-4a74-9379-a44185d69144	G47379VH					
Neu5Ac(a2-3)Gal(b1-3)GalNAc	GSD:bd544174-9b27-4f63-b71b-c5666358a595	G56299XO					
Neu5Ac(a2-3)Gal(b1-4)Glc	GSD:f261beda-27ca-45b9-a01a-35b48b50b7ce	G56516VH					
Neu5Ac(a2-3)Gal(b1-4)GlcNAc	GSD:5c2de4b2-4008-4dd8-884f-973a690259aa	G10203DW					
Neu5Ac(a2-6)GalNAc	GSD:bbd48827-78a7-4efd-a2fe-37d7b5886f8f	G08371CD					
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal	GSD:6c0aa996-d859-479b-8c37-d6710034a904	G82775QT					
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc	GSD:8c8ff0f0-4ac8-4aaf-aed6-92368916beec	G93910CU					
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc	GSD:3e6860e0-dd8d-46c4-9083-6d0dfbe438cf	G81928IQ					
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal	GSD:f622cdfb-328b-4e57-8482-d08002907ef6	G82974JM					
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc	GSD:cc87fa4e-1acc-4b6d-b257-543d6355e5fb	G95233MF					
Neu5Gc(a2-3)Gal	GSD:d2b2f12c-b0ec-4b5f-a7ab-f139a386da5a	G53517XC					
Neu5Gc(a2-3)Gal(b1-4)GlcNAc	GSD:6bd898e9-9419-4433-a380-c6601f5a44c5	G48236KP					
Neu5Gc(a2-8)Neu5Ac(a2-3)Gal	GSD:4a8949f9-0e19-4fd6-b3f8-303d3e5fc3f7	G61424BA					
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal	GSD:12a83f46-619d-4aca-b4fa-db34f85715f0	G16142UJ					
poly-KDN	GSD:a9009522-45f5-4fc5-ad82-df5e8c11148d	G42911NE					
SD1a	GSD:cadabd03-d656-4bab-b508-2e1074b53d1a	G63813EJ					
SM3	GSD:7f747c20-dbac-4427-89e2-788cc4fd90ca	G20044TD					
SM4s	GSD:65f5cada-eb8b-4f15-b7b5-04b914f1491b	G72548RZ					
amylose	GSD:553a15fd-f3e1-4520-8d69-9c3d3b512bf1	G05740LL					
cellotriose	GSD:4e6d2a6d-f729-4387-a94e-9997490ce215	G50026IZ					
gellan	GSD:5d04f9d1-9d56-4056-9b47-2d7a8c0a6ca5	G41181BF					
gentiobiose	GSD:964e6a6f-727b-4a18-bc7b-75437cb819e0	G47329OU					
iGb3	GSD:cd817de8-1227-4cd7-a4cc-8aa89ce13ef5	G78074HX		isoglobotrihexosylceramide			
iGb4	GSD:02f34de6-3acd-4b78-8238-381fc980095e	G57710SU		isoglobotetrahexosylceramide			
isomaltose	GSD:fda54e47-8840-42f2-9050-43ab3ffd6771	G36281WI					
isopanose	GSD:7bab4295-b653-434a-bde8-2761f91b2f96	G37117TJ					
lactose	GSD:d3bfc2ac-dec1-4d3c-9caf-48b03084df86	G15541SE					
maltose	GSD:6c2edbdf-0e8f-4cd6-ad02-1b204741afb0	G44653LT					
melibiose	GSD:2e97c20e-d29c-4dbc-a4a9-6f5c1307d6d3	G66481II					
nLc4	GSD:c983b5f3-2adc-4db8-8a25-782035454a36	G58896AZ		neolacto-tetraosylceramide			
nLc6	GSD:2c77b391-acda-47d8-8143-7858a299a67c	G84034JH		neolacto-hexaosylceramide			
panose	GSD:3dea9dc3-48cc-4ee9-87d0-8ecd5cd1d464	G44612JM					
primeverose	GSD:630edab2-70df-4281-9437-1890f9de9636	G82276DL					
rutinose	GSD:20f8cecb-eca0-4636-8263-f286a02e69cc	G68857PG					
core 5	GSD:0232300a-a001-4f35-a1b6-f3a3deb18ed9	G00039MO					
core 6	GSD:3e753d46-1782-4e9d-9f42-9dd0a5e8e884	G00041MO					
core 7	GSD:49dd0450-0151-425e-99df-1c389e492835	G00043MO					
GD1 alpha pentasaccharide	GSD:8c9bf9d6-a030-4eeb-9642-3aca39662ac3	G45714BQ					
GD1 alpha	GSD:a24b8a0e-617b-4265-90da-89051f4f6d47	G07394RV					
2-3 sialyl-lacto-N-tetraose	GSD:510a134d-1712-472b-a50e-fea8e0d434f2	G21066IE					
6,6'-sulfo LacNAc	GSD:cebea50e-809e-4e6b-9b8b-3616fe363ba7	G24270KX					
acharan sulfate	GSD:b4515395-fede-40c9-8d37-8fdf332bd82e	G25575JK					
delta-heparan sulfate	GSD:8e5f1276-7205-4834-9d26-73c598c67828	G25575JK					
2-9,2-6 disialyllactosylceramide	GSD:9d4213ac-8c01-436a-82fc-31f84645bf00	G30187JM					
core 0	GSD:2387cdad-43b9-4c41-9c47-60f66326267c	G57321FI					
fucosyl asialo-GM1	GSD:8014d96b-dd47-4d24-909b-ae92f36ed710	G57920AK					
F1 alpha	GSD:e1288740-84b8-4762-980b-3f51b48d3a5f	G61730RY					
N-glycolyl GM3	GSD:3c8e4679-d370-4858-9016-f0d288c387b3	G75789AR					
core 8	GSD:c201b527-626e-42df-9712-33a3cfdfbe05	G76355TG					
poly-N-acetylneuraminic acid	GSD:3ba55485-7aec-45b4-acc6-0cde9f25ffb0	G80631ZD					
2-6 sialylparagloboside	GSD:996dbe5c-9f1d-4621-91b4-40768552f7de	G83513YI					
N-glycolyl GD3	GSD:83b8053a-8f3f-49f5-ad14-33651663ef9a	G84891DZ					
N-acetyl GM3	GSD:06bd9230-9660-4176-95b3-5ea150555eb8	G91237TK		GM3 / Neu5Ac			
poly-N-glycolylneuraminic acid	GSD:1a223014-1b0b-4155-821c-f9f69aa8b422	G95717TY					
N-acetyl GD3	GSD:5abce0cd-a3c7-4211-9503-65b0cec1a97c	G98544DH					
Lewis y (extended) / hexasaccharide	GSD:03913360-7c86-4ed9-a762-d8deeb917f51	G69030AU					
O-mannosyl glycan / mammalian	GSD:aa9e444d-dbfb-4d59-8f3d-5fd3e35df979	G59126YU					
O-mannosyl glycan / yeast	GSD:225a830f-cc4a-42c0-8d60-ffca23cf7ac0	G25559RS					
O-fucose glycan / EGF repeat	GSD:48cb33e8-fbc3-4bd5-a7b0-4568f69b2a46	G39294YF					
O-fucose glycan / thrombospondin type 1 repeat	GSD:0f1d4f50-c1ce-442d-b509-85753f1af2fa	G36855WW					
blood group A trisaccharide	GSD:279d0705-3eab-4c6f-b0bd-d34ffa4ebc51	G00066MO					
blood group A type 1 (difucosyl)	GSD:5bd9117e-6e5a-49a7-81e7-73ce5ebb17e1	G97501MA					
blood group A type 2 (difucosyl)	GSD:fbf4a554-5562-42a7-9a51-4679b1b9fef7	G54826OZ					
chondroitin sulfate D	GSD:5529f60d-2731-4786-9388-ceecabb6bbee	G46732TY					
beta 1-6 galactan	GSD:d759395b-0e38-46fc-a58b-2515b4192c9d	G69386QK					
beta 1-4 galactan	GSD:4abab09e-59b0-4c83-aed8-d8ce7e64819b	G77076MY					
mixed-linkage beta glucan	GSD:8f6f737c-2e91-4f67-8d78-0b81d0bfdcdf	G46558JB		1-3/1-4 beta glucan			
blood group H disaccharide	GSD:067fc20f-5196-4e52-8493-97120eff6a4c	G00068MO					
arabinogalactan type I	GSD:b7d754c5-bc4d-4fd3-9220-7b491f997a5a	G98272RS					
sialyl 6-sulfo LacNAc	GSD:7498e0fb-3377-4ee2-8c37-33f0232748e8	G99745QX					
Lewis a- Lewis X hybrid antigen	GSD:bf4125e8-7959-4ec2-b67f-ff8d0b0c3a3f	G07357YR|G74578MX					
Neu5Gc(a2-3)Gal / monosialoganglioside	GSD:d6eea297-7840-4efe-89df-52e5ddab9fb4	G53517XC					
dimeric Lewis a	GSD:586e36e8-3c9a-4fca-951f-65c34a7ddd08	G21808VY					
disialyl Lewis c	GSD:7a12fbed-8d5b-4843-a42a-fe3d68618294	G14000ZZ					
sialyl Lewis c	GSD:6065c033-b855-4854-9681-32799c3d2bc6	G46776WR					
2-6 sialyl i-Lewis x	GSD:91dd3f7a-c0ee-40d4-b499-630f1967b1ed	G93855LZ					
arabinogalactan type II	GSD:fe41c176-a401-474a-ad78-3d673587de95	G12828SG					
internal Lewis x	GSD:9e04b3e9-01f0-4809-8f77-6637925b4d40	G64227KZ					
6-sulfo Lewis x	GSD:416c0ecc-e4db-48d3-a1dc-b960ae6cd923	G89307GT					
β-linked lactose	GSD:a6c8cb4a-f684-48be-a06e-86fa493b2d87	G84224TW					
A1	GSD:558c6e29-6921-4fa8-81fb-105af7b1ac93	G61751GZ			G0-N	Oxford notation	
A1G1	GSD:b9528c73-258e-4986-8bea-74d253f0afc6	G69411IG				Oxford notation	
A2	GSD:0605927f-fc12-42da-a5c2-1a52395ab7f8	G36191CD			G0	Oxford notation	
A2[3]G1	GSD:a4fafd81-d735-4de0-9a1a-54c71b11a0aa	G66937TJ				Oxford notation	
A2[6]G1	GSD:149a032b-69f4-4689-8146-fde147ac4c65	G89993FE				Oxford notation	
A2B	GSD:0b994b4c-7d17-42aa-b8fe-71d08800b960	G59471TH			A2BG0|G0B	Oxford notation	
A2BG0	GSD:a7c3ef02-2f8b-4b92-8f06-445cc22031c0	G59471TH			A2B	Oxford notation	
A2BG1	GSD:92f07899-60f1-4f07-ac64-85831ea7e874	G72718TT				Oxford notation	
A2BG2	GSD:2410d679-553d-4dd0-ba68-b91629af36dc	G52934AK				Oxford notation	
A2BG2S1	GSD:9311af08-d5dd-43b1-b0ac-116a77719f1b					Oxford notation	
A2BG2S2	GSD:8bc613fa-fd70-4270-99e0-eba61136246d					Oxford notation	
A2F1	GSD:848697c5-4a99-46ca-9265-25cc5275cf78					Oxford notation	
A2F1G2S2	GSD:8dc047d1-e1a2-4a66-bfbb-65623b7f08fa					Oxford notation	
A2G1	GSD:1950a6af-7cbb-49cf-aae3-59bc276a5980	G66937TJ			G1	Oxford notation	
A2G2	GSD:2d0aec1a-2f4b-44d7-9ff3-796bfdd88636	G36191CD			G2	Oxford notation	
A2G2S1	GSD:37d0e526-70e9-41a9-93ca-621586dff079					Oxford notation	
A2G2S2	GSD:1acd7360-9827-4469-9cb2-b5fe84935177					Oxford notation	
A3	GSD:8b2a49d6-7e7b-45b8-96c1-63abdb47802e	G29011JC				Oxford notation	
A3F1	GSD:acf5da02-703e-4d92-a29a-c4557c8901c5					Oxford notation	
A3F1G3S2	GSD:9a676794-3fc8-40f1-95d2-96d33ced58f5					Oxford notation	
A3F1G3S3	GSD:4d439e5c-227c-4662-8bb8-5ffd17a09eac					Oxford notation	
A3F2G3S3	GSD:e8fa8a19-f73d-4c6b-9f00-ccdb8e29207d					Oxford notation	
A3G3	GSD:eee720f8-4b0b-4f14-8333-0cf118cd84b6	G29857RC				Oxford notation	
A3G3S2	GSD:09012562-756c-4994-890b-1699fe74a5f5					Oxford notation	
A3G3S3	GSD:a572974c-d903-4a37-b82d-8ed145e7133c					Oxford notation	
A4	GSD:038ada2e-fed9-474d-ad07-7cbd41a9c2ea	G20030CU				Oxford notation	
A4F1	GSD:7f7c698f-5497-455f-acae-c7f55cee6d7a					Oxford notation	
A4F1G4	GSD:3f0e9a39-1e92-4752-9e41-9efb9dd035d9					Oxford notation	
A4F1G4S4	GSD:6bbca09a-452a-4fa9-b34c-38279f52ca91					Oxford notation	
A4G4	GSD:46bc0119-d6b8-430c-a1f4-82c95fb8dbac	G18938DW				Oxford notation	
A4G4S1	GSD:05af8e56-3b80-4f58-878e-1c02ac445d83					Oxford notation	
A4G4S2	GSD:94aede7b-f6e7-4347-abc1-b5e43a754c77					Oxford notation	
A4G4S3	GSD:160acd22-9d2b-4267-9670-712c8490e7e1					Oxford notation	
A4G4S4	GSD:a5cd0381-387e-4693-8faf-39d261b18e3f					Oxford notation	
FA1	GSD:1463378a-685e-4580-bada-bf5110f7f80a					Oxford notation	
FA1G1	GSD:9c5f7f2b-a42a-46c4-a5fb-5f30aa680700					Oxford notation	
FA2	GSD:aeebc5be-14f5-4c03-b61f-a2936330a37e				G0F	Oxford notation	
FA2[3]BG1	GSD:32681f4f-b6e5-481b-b210-a244a5c73378					Oxford notation	
FA2[3]G1	GSD:adef3db2-d128-42a0-86af-2fe9fdaa6719					Oxford notation	
FA2[3]G1S1	GSD:cd4a7669-b13d-4938-81ca-5dc9bcc7a57f					Oxford notation	
FA2[6]BG1	GSD:cc1bd28d-2cda-4819-9902-ded2eb2bf47d					Oxford notation	
FA2[6]G1	GSD:165e2c8c-4213-4d96-a40e-1fa770c78410					Oxford notation	
FA2B	GSD:0f6dff69-e331-4e34-9d72-7bbb67a604b5				G0FB	Oxford notation	
FA2BG2	GSD:641038a1-7fd3-4b65-9ace-1d4fc9e650eb					Oxford notation	
FA2BG2S1	GSD:af920d36-243b-4016-834e-deec53c77d1e					Oxford notation	
FA2BG2S2	GSD:1fda2059-3956-45c5-8d62-9af6d225be60					Oxford notation	
FA2F1G2S2	GSD:fb845bf6-917c-4d4f-8176-b66eaa9b31a8					Oxford notation	
FA2G1	GSD:4263014e-957d-44f1-b733-12302704fc09				G1F	Oxford notation	
FA2G1S1	GSD:5d225294-62f8-4d1e-a112-d8a1192c29ab					Oxford notation	
FA2G2	GSD:7bf91264-a639-48f4-a992-f1ad65f6d1e5				G2F	Oxford notation	
FA2G2S1	GSD:2e04d1a2-3da5-458f-8573-39514b94b7b7				G2FS1	Oxford notation	
FA2G2S2	GSD:54235f94-c902-44d0-994d-9235d7dc6fb7				G2FS2	Oxford notation	
FA3	GSD:0fb25052-9b14-41b5-ab91-4062f7031941					Oxford notation	
FA3B	GSD:a4af7308-5106-450f-961c-f555980b279d					Oxford notation	
FA3F1G3S3	GSD:058efd1f-f654-479e-824e-bbda5ff6b69a					Oxford notation	
FA3G3	GSD:556417e6-2691-4e4e-bd70-8e311d17c9c3					Oxford notation	
FA3G3S3	GSD:c3874249-f0e6-45e8-ac6e-a12224f0ff64					Oxford notation	
FA4	GSD:57f7f432-089d-4fb4-889f-e6393b0d4d19					Oxford notation	
FA4F1G4S4	GSD:d802f979-8882-4c39-945a-92a0531cd269					Oxford notation	
FA4G4	GSD:2d1e1acb-8613-48c5-a166-dc30d456f389					Oxford notation	
FA4G4S4	GSD:8998868d-539a-4c2c-87ef-28d8ba2d31b6					Oxford notation	
G0-N	GSD:3eac30ef-5494-45c6-bdf5-108a05cf1890	G61751GZ			A1	IgG notation	
G0B	GSD:6fb1b3d1-7810-41fc-917e-44634e577d3c	G59471TH			A2B	IgG notation	
G0F	GSD:e2868821-1995-4872-983f-4231e9fd8faf				FA2	IgG notation	
G0FB	GSD:e2aedcf6-3412-4ce7-8768-970fff170c92				FA2B	IgG notation	
G1	GSD:e09b35de-0e6a-4fdd-a9b2-ad015b788603	G66937TJ			A2G1	IgG notation	
G1F	GSD:aeeaceb1-5530-4598-b828-31015aceeaa0				FA2G1	IgG notation	
G2	GSD:a9dc8b21-25a3-4a48-8943-0c8e852ff46c	G36191CD			A2G2	IgG notation	
G2F	GSD:c979ed9e-e4e2-4ec6-ae30-da5a7ad21b32				FA2G2	IgG notation	
G2FS1	GSD:06a32dd0-c657-491d-bcf9-c719061df840				FA2G2S1	IgG notation	
G2FS2	GSD:5750e9ec-7e77-491e-a140-3b90e2b0df83				FA2G2S2	IgG notation	
G1M9	GSD:27e8bdda-e653-437d-a0b4-7806b6892790					Oxford notation	
G2M9	GSD:a695785e-9e88-4f37-91f5-f38fc81a3448					Oxford notation	
M3 (N-glycan)	GSD:31920366-d0a5-4ca0-b9f7-3b9fceff0283	G22768VO			Man3	Oxford notation	
M5	GSD:f5c9087c-f814-4e25-8197-5801209af7e1	G32104JU			Man5	Oxford notation	
M6	GSD:2567d8db-d209-41bb-9f3e-86cc5bc11725	G56038AR			Man6	Oxford notation	
M7	GSD:b09056c6-2f81-4d26-9e20-c4cf7d1406f5	G04216GB			Man7	Oxford notation	
M7AB	GSD:cbbfc6f4-8a29-49f9-95f8-e151c13f9914					Oxford notation	
M7AC	GSD:b0c06d6b-d81c-4b50-95b0-c2372764a0b7					Oxford notation	
M8A	GSD:2fc718c5-7cc7-4eea-8953-ad6fbe516208					Oxford notation	
M8C	GSD:f157d93e-add0-4d35-8495-be2ef2cf73f3					Oxford notation	
M8	GSD:e46355aa-9afd-475b-8df0-ac024fd4e49d	G91704UR			Man8	Oxford notation	
M9	GSD:7a9857d9-21b5-40a1-aa48-deb2cca160d8	G26508HK			Man9	Oxford notation	
