term,avg_similarity,count,max_similarity
oligosaccharide side chains,0.347699,1,0.347699
galnacα1-4galnacα1-3-dinacbac-β1,0.347286,1,0.347286
series a,0.347241,1,0.347241
lysozyme-type fold,0.346952,1,0.346952
lipopeptidophosphoglycan,0.346919,1,0.346919
undecaprenylphosphate,0.346870,2,0.398882
neu5acα2–3gal-,0.346763,1,0.346763
gpi-anchored proteins,0.346706,2,0.441335
endo-n,0.346485,1,0.346485
ethanolamine phosphate residues,0.346286,1,0.346286
starch,0.346099,3,0.493817
galβ1-3 residues,0.346046,2,0.393988
βglca,0.345881,1,0.345881
n-glycosylation disorders,0.345870,1,0.345870
labeled glycans,0.345790,1,0.345790
β-glcnac,0.344978,1,0.344978
hs-derived units,0.344954,1,0.344954
type 2,0.344424,1,0.344424
heptose,0.343963,1,0.343963
rg-i,0.343946,1,0.343946
inositolphosphoceramide-based protein-linked gpis,0.343480,1,0.343480
fucosylated compounds,0.343427,1,0.343427
internal,0.343199,1,0.343199
endogenous cell-surface gangliosides,0.343170,1,0.343170
pa14 domains,0.342994,2,0.413209
glucuronylated,0.342925,1,0.342925
mycolyl-ag-peptidoglycan complex,0.342865,1,0.342865
gal moieties,0.342854,1,0.342854
bacillosamine,0.342758,1,0.342758
o-linked glycan diversity,0.342634,1,0.342634
dermatan sulfate,0.342421,3,0.364819
α-linked polyglucose nanofilaments,0.342329,1,0.342329
man6glcnac2,0.341379,1,0.341379
glucan,0.341307,5,0.431633
acetals,0.341058,1,0.341058
placental chondroitin sulfate a,0.340751,1,0.340751
type-2,0.340327,1,0.340327
mucin type o-glycosylation,0.340215,1,0.340215
arabino-oligosaccharides,0.339567,1,0.339567
n-acetylglucosamine residues,0.339212,2,0.406369
linear poly-n-acetyllactosamine units,0.338506,1,0.338506
β-prism,0.338464,1,0.338464
glcnacβ1-4man-r,0.338380,1,0.338380
5-hydroxymethyl cytosine bases,0.338377,1,0.338377
kdop-containing lipids,0.337971,1,0.337971
xylose residues,0.337541,2,0.359100
minor glycans,0.337063,1,0.337063
iupac-like,0.336974,1,0.336974
gpi glycan side chains,0.336920,1,0.336920
fsp,0.336361,2,0.392933
cancer-associated glycolipid glycans,0.336134,1,0.336134
extended chitobiose glycan,0.335858,1,0.335858
mature n- and o-glycans,0.335835,1,0.335835
core-2-based o-glycan,0.335770,1,0.335770
gpi-anchored glycoproteins,0.335754,1,0.335754
glycan ligand,0.334778,1,0.334778
man2-3glcnac2,0.333620,1,0.333620
syndecan-1 ectodomains,0.333079,1,0.333079
glycosylinositolphosphorylceramides,0.332436,1,0.332436
eukaryotic glycans,0.332207,2,0.340677
β-d-xylosides,0.332021,1,0.332021
galcer,0.331533,4,0.372205
sequences,0.331507,1,0.331507
cpss/epss,0.331404,1,0.331404
4-o-acetyl group,0.331298,1,0.331298
carbohydrate structures,0.331100,1,0.331100
diacetamidodideoxyglucopyranose,0.330958,1,0.330958
neu5gcα2–3galβ1–4glc,0.330905,1,0.330905
dolichol-p-man,0.330191,1,0.330191
l-type,0.329766,1,0.329766
o-glycan chains,0.329696,1,0.329696
mannose chains,0.329513,1,0.329513
complex human-like glycans,0.329407,1,0.329407
sulfated gag,0.329205,1,0.329205
galactolipids,0.328957,2,0.332143
degraded glycans,0.328902,2,0.341370
3-o-sulfated gal,0.328807,1,0.328807
oligosaccharide sequences,0.328356,1,0.328356
dermatan,0.328008,1,0.328008
lipid-linked tetrasaccharide,0.327810,1,0.327810
glyco-epitopes,0.327686,1,0.327686
siglecs,0.327669,2,0.394121
monoglucosylated,0.327649,2,0.379942
putative repeating unit,0.327550,1,0.327550
acceptor substrates,0.327445,2,0.338667
ceramide,0.327328,1,0.327328
monosialylated ganglioside,0.326707,1,0.326707
backbone structures,0.326602,2,0.393620
galα1-4gal moiety,0.326473,1,0.326473
abo glycans,0.326012,1,0.326012
mucin domains,0.325835,1,0.325835
endogenous glycans,0.325820,3,0.349913
repetitive polysaccharides,0.325645,1,0.325645
glycodelin s,0.325483,1,0.325483
man7–9glcnac2 oligosaccharides,0.325481,1,0.325481
lipid a,0.325184,2,0.395187
keratan sulfate,0.324870,4,0.391512
acidic disaccharide repeating units,0.324862,1,0.324862
c14:0 myristate,0.324649,1,0.324649
4-manpa-1-4-gulpa-1 sequences,0.324377,1,0.324377
2-ab,0.323912,1,0.323912
β1-2glcnac,0.323372,1,0.323372
1-2-linked rhap residues,0.322835,1,0.322835
mucin repeats,0.322801,1,0.322801
heparan sulfate (hs) proteoglycans,0.322542,1,0.322542
interglycosidic bonds,0.322235,1,0.322235
cps structures,0.322053,1,0.322053
human glycan epitopes,0.322012,1,0.322012
gm2,0.321890,3,0.341543
diesters,0.321638,1,0.321638
bisecting glcnac,0.321610,2,0.351696
frog egg mucins,0.321402,1,0.321402
glycan category,0.321069,1,0.321069
specific glycans,0.320943,3,0.380714
ligands,0.320038,1,0.320038
bgb+e. coli,0.319828,2,0.321800
fuc,0.319755,1,0.319755
gpi-anchor,0.319646,1,0.319646
multiple glycoforms,0.319438,1,0.319438
complementary glycans,0.319012,1,0.319012
bisecting glcnact-iii,0.318718,1,0.318718
disaccharide fragments,0.318637,1,0.318637
chitin polysaccharides,0.318228,1,0.318228
lipid-linked oligosaccharide precursor,0.318154,1,0.318154
green algae,0.317993,2,0.318448
glycodelin a,0.317965,1,0.317965
internal sequences,0.317947,1,0.317947
los,0.317885,1,0.317885
cazy gt2 family,0.317867,1,0.317867
α2-3sialyllactosamines,0.317615,1,0.317615
serrate,0.317441,2,0.332090
n-glycans on yeast glycoproteins,0.317380,1,0.317380
smaller glyco-clusters,0.316879,1,0.316879
siglec family,0.316563,1,0.316563
attached glycans,0.316291,2,0.366030
sialylated ligands,0.316278,2,0.347047
multiple plasma glycoproteins,0.315587,1,0.315587
certain glycolipids,0.315544,1,0.315544
peptide portions,0.315353,2,0.344221
o-ps,0.315124,4,0.370178
neu5acα2–6gal linkages,0.314569,1,0.314569
glycosyldiacylglycerolipids,0.314491,1,0.314491
glycoproteins of parasites,0.314445,1,0.314445
glycans characteristic of microorganisms,0.314268,1,0.314268
endogenous glycan structures,0.314043,1,0.314043
rare sugars,0.313386,1,0.313386
related moieties,0.313361,1,0.313361
specialized glycans,0.312705,1,0.312705
peptidoglycam,0.312639,1,0.312639
hs structure,0.311962,1,0.311962
the glycan moieties,0.311477,1,0.311477
long glycan chains,0.311339,1,0.311339
glycan side chains,0.311054,2,0.362591
blood group b glycans,0.310798,1,0.310798
galactosylated swcnts,0.310281,1,0.310281
β-linked cell-surface gal/galnac containing glycans,0.310224,1,0.310224
most glycan structures,0.310201,1,0.310201
glycosylated metabolites,0.310132,1,0.310132
polyglucosan bodies,0.309368,2,0.351068
unstructured regions,0.309297,1,0.309297
dxd motif,0.308777,1,0.308777
core 2,0.308755,2,0.317805
secreted mucins,0.307953,2,0.349842
arthroseries glycolipids,0.307788,1,0.307788
internal 6-o-sulfated glucosamine residues,0.307584,1,0.307584
polymers,0.307556,1,0.307556
glccer,0.307457,1,0.307457
egf-like,0.306757,1,0.306757
heparan,0.306706,1,0.306706
lipopolysaccharide o-antigens,0.306356,1,0.306356
poly-lacnac chains,0.304773,4,0.358075
galactofuranose (f),0.304556,1,0.304556
o-glucose,0.304546,2,0.354940
gsl structures,0.304314,2,0.342872
linear fucose,0.304292,1,0.304292
galnacα1-4galnacα1-4,0.304214,1,0.304214
p1 determinant,0.304207,1,0.304207
lipid-linked oligosaccharide,0.303681,3,0.317581
terminal β-linked gal,0.303668,2,0.337100
glycosylphosphatidylinositol (gpi) anchors,0.303394,1,0.303394
fumigatus galactomannan-manα1–2manα1–2manα1–6manα1–4glcn-inositolphosphoceramide,0.302898,1,0.302898
polyribitol,0.301992,1,0.301992
free glycan structures,0.301518,1,0.301518
modified and phosphorylated glycans,0.301298,1,0.301298
modified sugars,0.301021,1,0.301021
mucin glycans,0.300253,1,0.300253
branched pentasaccharide,0.300165,1,0.300165
sialylated glycoconjugates,0.299883,1,0.299883
glyconanomaterials,0.299661,1,0.299661
specific glycoforms of a glycoprotein,0.299575,1,0.299575
incomplete protein-bound glycans,0.299352,1,0.299352
core-1 galβ1-3galnacα1-o-ser/thr structure,0.298923,1,0.298923
outer core,0.298651,2,0.306334
incomplete glycans,0.298364,1,0.298364
serrate/jagged,0.298286,1,0.298286
chondroitin sulfate/dermatan sulfate,0.297710,1,0.297710
glycans carrying two m6p residues,0.297551,1,0.297551
lpg,0.297532,1,0.297532
gt-a superfamily,0.297363,1,0.297363
heavily o-glycosylated gel-forming mucins,0.297308,1,0.297308
core 1 o-glycan,0.297116,1,0.297116
glcβ1-3fucα-o-ser/thr,0.297103,1,0.297103
1-4-linked β-d-manpa,0.296771,1,0.296771
trans-sialidases,0.296758,1,0.296758
β-strand,0.296446,1,0.296446
fucα1-3glcnac,0.295549,1,0.295549
mucin sialoglycans,0.295335,1,0.295335
ssea-4,0.294810,1,0.294810
gt27 cazy family,0.294216,1,0.294216
exposed galactose,0.294097,1,0.294097
heparin,0.293785,1,0.293785
galα1–4gal-cer residues,0.293595,1,0.293595
glycan portion,0.293288,1,0.293288
n- and o-linked chains,0.292932,1,0.292932
cores of all types of glycoprotein glycans,0.292817,1,0.292817
antigenic glycoconjugate structures,0.292642,1,0.292642
core 1 and core 2,0.292240,2,0.316606
terminal monosaccharide units,0.292233,1,0.292233
galβ1-4manα1-po4,0.292067,1,0.292067
long-chain glycosphingolipids,0.291864,1,0.291864
paucimannosidic structures,0.291732,1,0.291732
s-layer,0.291319,1,0.291319
glycoside,0.291254,1,0.291254
galnacα1-4,0.291214,1,0.291214
plm antigens,0.291034,1,0.291034
neoglycoprotein,0.290979,1,0.290979
membrane-bound mucins,0.290590,1,0.290590
glcua,0.290406,1,0.290406
paps,0.289956,1,0.289956
neutral core oligosaccharide,0.289842,1,0.289842
1-6- and 1-3-linked β-glc residues,0.289780,1,0.289780
ganglioside immunogens,0.289587,1,0.289587
undecaprenyl carriers,0.289345,1,0.289345
mannac,0.289134,1,0.289134
man-6-p targeting signal,0.288722,1,0.288722
oligomannose (or high-mannose) type,0.288034,1,0.288034
mucin-like,0.288010,1,0.288010
chains,0.287908,1,0.287908
brain ganglioside glycans,0.287869,1,0.287869
cell-surface sialic acids,0.287659,1,0.287659
glycoproteins and glycolipids,0.287501,1,0.287501
cancer-associated ligands,0.287335,1,0.287335
open ring,0.287238,1,0.287238
secretory proteins,0.286703,1,0.286703
mliiiα/β,0.286633,1,0.286633
sialylated fucosylated hex-hexnac,0.286203,1,0.286203
n- and o-linked glycopeptides,0.285842,1,0.285842
secreted polysaccharides,0.285737,1,0.285737
legionaminic acid,0.285004,1,0.285004
chitin oligosaccharides,0.284667,2,0.295547
gm3,0.284655,3,0.337750
β-trefoil fold,0.284293,2,0.315961
biantennary glcnac2man3glcnac2,0.284133,1,0.284133
β-linked gal,0.283974,1,0.283974
mammalian sialidases,0.283964,1,0.283964
poly-n-acetyllactosamine sequences,0.283391,1,0.283391
slex tetrasaccharide,0.282994,1,0.282994
glycome,0.282982,2,0.307550
hexnac-hexnac core,0.282832,1,0.282832
-6galβ1-4manα 1-po4-) repeat units,0.282581,1,0.282581
sialyl-lewis x tetrasaccharide derivatives,0.282240,1,0.282240
abo(h),0.282073,1,0.282073
cazy family gt44,0.281866,1,0.281866
hyaluronic acid–binding proteins,0.281650,1,0.281650
yellow-green algae,0.281618,1,0.281618
sialoadhesins,0.281316,1,0.281316
determinant,0.280824,1,0.280824
gpi anchor,0.279951,1,0.279951
cis-ligands,0.279694,1,0.279694
multiple glycans,0.279516,1,0.279516
core m3 glycan,0.279352,1,0.279352
s5glcnhex,0.278694,1,0.278694
α1-4glcnac,0.278479,1,0.278479
aci5,0.278300,1,0.278300
self-glycans,0.277542,1,0.277542
blood group b determinant,0.277220,1,0.277220
3-o-sulfated glcns6s unit,0.277196,1,0.277196
predicted structures,0.276812,1,0.276812
dol-p-linked tetrasaccharide,0.276572,1,0.276572
terminal β-linked gal or galnac residues,0.276562,1,0.276562
pc-modified glycosaminoglycans,0.276334,1,0.276334
complex n-linked glycans,0.275894,1,0.275894
galactose residues,0.275767,1,0.275767
o-glycosylation,0.275610,1,0.275610
polysaccharide strands,0.274360,1,0.274360
llo,0.273890,1,0.273890
glycosylphosphatidylinositol,0.273516,1,0.273516
osmoregulated periplasmic glucans,0.273510,1,0.273510
free hs oligosaccharides,0.273349,1,0.273349
ceramide structures,0.272788,1,0.272788
hs proteoglycan,0.272234,1,0.272234
the glycan moieties of a glycoprotein,0.272099,1,0.272099
lewis x glycan structures,0.272081,1,0.272081
target structure,0.271792,1,0.271792
chiral hydroxymethylene units,0.271600,1,0.271600
modified sialic acids,0.271442,1,0.271442
related but distinct glycans,0.270819,1,0.270819
galactose terminated branches,0.270680,1,0.270680
cellulose-derived oligomers,0.270338,1,0.270338
cellobiose units,0.270262,1,0.270262
terminal β-linked gal or galnac,0.269300,1,0.269300
lung surfactant lipids,0.268945,1,0.268945
animal systems,0.268586,1,0.268586
fucα1-2galβ1-3glcnac1α-,0.267840,1,0.267840
glycan-binding proteins,0.267537,1,0.267537
paucimannose-type,0.267486,1,0.267486
m8b,0.267272,1,0.267272
gt-b,0.265915,1,0.265915
short glycolipids,0.265847,1,0.265847
polysaccharides and oligosaccharides,0.265451,1,0.265451
alternating n–acetylmuramic acids,0.265430,1,0.265430
lysozyme-type enzymes,0.265337,1,0.265337
unknown structures,0.265108,1,0.265108
glycosphingolipid,0.264563,1,0.264563
glycornas,0.264200,1,0.264200
nucleocytoplasmic glycans,0.263964,1,0.263964
membrane fragments,0.263879,1,0.263879
heavy chains,0.263723,1,0.263723
cog subunits,0.263538,1,0.263538
amylopectin,0.263002,1,0.263002
h-antigen,0.262923,1,0.262923
o-glcnacylated,0.262895,1,0.262895
lacnac units,0.262575,1,0.262575
ganglioside gm3,0.262353,1,0.262353
host and dietary glycans,0.262084,1,0.262084
n-acetylneuraminic acid (neu5ac),0.261813,1,0.261813
core n-linked glycosylation,0.261480,1,0.261480
sialyl-tn,0.261189,2,0.269543
pectic,0.261142,1,0.261142
gal-cer,0.260820,1,0.260820
core proteins,0.260790,1,0.260790
neutral cores,0.260729,1,0.260729
gpi glycan,0.260558,1,0.260558
glucose polymers,0.260393,1,0.260393
chondroitin sulfate proteoglycan,0.260217,1,0.260217
fucosylated hex-hexnac,0.259864,1,0.259864
fourth and fifth sugars,0.259815,1,0.259815
glycan structure(s),0.259558,1,0.259558
phosphatidylinositol mannosides,0.259263,1,0.259263
tri-man,0.259012,1,0.259012
gpi oligosaccharide,0.258726,1,0.258726
domain folds,0.258445,1,0.258445
enzymes that recognize specific glycan substrates,0.258322,1,0.258322
murein,0.258274,1,0.258274
sialic acid–dependent carbohydrate-binding proteins,0.257561,1,0.257561
deuterostomes,0.257303,1,0.257303
ogt/oga substrates,0.257019,1,0.257019
lacnac structure,0.256951,1,0.256951
alditols,0.256749,1,0.256749
terminal glycans,0.256528,1,0.256528
branched oligosaccharide,0.256405,1,0.256405
haplns,0.256114,1,0.256114
mammalian glycan antigens,0.255733,1,0.255733
n-glycolyl group,0.255284,1,0.255284
single glycoforms of epo,0.255057,1,0.255057
oligomerization domains,0.254981,1,0.254981
atypical sequons,0.254772,1,0.254772
sulfoquinovose,0.254350,2,0.257647
β1-6glcnac,0.254340,1,0.254340
gpi-glycan,0.254332,1,0.254332
gut mucosal glycans,0.254311,1,0.254311
ceramide moiety,0.254072,1,0.254072
neutral sugars,0.253497,1,0.253497
polyribitol or polyglycerol chains,0.253490,1,0.253490
series f,0.253397,1,0.253397
truncated or altered glycans,0.253070,1,0.253070
neuraminidase inhibitors,0.252825,1,0.252825
rhamnogalacturonan domain,0.252473,1,0.252473
leg5,0.252471,1,0.252471
1-4-linked α-l-gulpa,0.252401,1,0.252401
glc-cer,0.252223,1,0.252223
short-chain glycosylceramides,0.252200,1,0.252200
tertiary/quaternary structures,0.251850,1,0.251850
rfms,0.251424,1,0.251424
sulfated-galnac,0.251379,1,0.251379
murnac,0.251302,1,0.251302
soybean glycoproteins,0.250701,1,0.250701
free glycan,0.250487,1,0.250487
cdg,0.250045,1,0.250045
